frame_id,active_tracks,avg_speed,density,congested,fps
405,6,0.228,3e-06,False,2.96
406,6,0.23,3e-06,False,3.76
407,6,0.194,3e-06,False,1.01
408,6,0.179,3e-06,False,3.88
409,6,0.199,3e-06,False,5.4
410,6,0.312,3e-06,False,4.32
411,7,0.283,3e-06,False,3.47
412,7,0.556,3e-06,False,5.7
413,8,0.504,4e-06,False,4.74
414,7,0.506,3e-06,False,6.05
415,7,0.511,3e-06,False,4.85
416,8,0.426,4e-06,True,3.26
417,6,0.176,3e-06,True,6.48
418,5,0.175,2e-06,True,5.97
419,5,0.53,2e-06,True,6.07
420,6,0.219,3e-06,True,6.3
421,6,0.69,3e-06,False,6.07
422,5,0.601,2e-06,False,8.15
423,5,0.571,2e-06,False,5.93
424,6,0.523,3e-06,False,5.03
425,6,0.556,3e-06,False,5.78
426,7,0.563,3e-06,False,4.75
427,7,0.567,3e-06,False,6.23
428,7,0.567,3e-06,False,8.83
429,7,0.578,3e-06,False,8.47
430,5,0.644,2e-06,False,9.74
431,5,0.657,2e-06,False,8.04
432,3,0.348,1e-06,False,9.35
433,3,0.255,1e-06,False,8.77
434,3,0.104,1e-06,False,5.97
435,3,0.189,1e-06,False,8.11
436,4,0.104,2e-06,False,8.51
437,5,0.319,2e-06,False,9.41
438,5,1.132,2e-06,False,9.75
439,5,1.342,2e-06,False,7.09
440,5,0.915,2e-06,False,8.95
441,5,0.629,2e-06,False,9.76
442,5,0.697,2e-06,False,10.98
443,5,0.611,2e-06,False,9.82
444,5,0.528,2e-06,False,10.34
445,4,0.681,2e-06,False,11.05
446,4,0.697,2e-06,False,10.96
447,4,0.726,2e-06,False,11.02
448,4,0.731,2e-06,False,10.77
449,4,0.692,2e-06,False,10.95
450,3,0.137,1e-06,False,11.07
451,4,0.066,2e-06,False,10.92
452,4,0.548,2e-06,False,10.02
453,5,0.404,2e-06,False,10.93
454,6,0.328,3e-06,False,10.96
455,6,0.288,3e-06,False,10.14
456,6,0.32,3e-06,False,10.88
457,6,0.304,3e-06,False,10.99
458,5,0.361,2e-06,False,10.92
459,3,0.106,1e-06,False,10.39
460,3,0.074,1e-06,False,10.6
461,5,0.046,2e-06,False,10.82
462,5,0.077,2e-06,False,10.75
463,5,0.074,2e-06,False,10.8
464,5,0.137,2e-06,False,10.85
465,5,0.14,2e-06,False,10.6
466,5,0.146,2e-06,False,10.87
467,5,0.131,2e-06,False,11.04
468,5,0.126,2e-06,False,10.79
469,5,0.132,2e-06,False,10.89
470,4,0.112,2e-06,False,10.16
471,3,0.111,1e-06,False,10.77
